appid,gameid
40960,0
237570,1
32770,2
65540,3
8200,4
253960,5
10,6
40970,7
221200,8
8210,9
20,10
40980,11
237590,12
65560,13
24600,14
8220,15
253980,16
30,17
40990,18
32800,19
24610,20
221220,21
213030,22
8230,23
41000,24
40,25
204840,26
24620,27
8240,28
254000,29
50,30
41010,31
24630,32
57400,33
8250,34
60,35
204860,36
237630,37
65600,38
24640,39
16450,40
8260,41
254020,42
70,43
41030,44
65610,45
24650,46
221260,47
8270,48
80,49
204880,50
24660,51
90200,52
8280,53
41050,54
254040,55
92,56
24670,57
98400,58
16480,59
8290,60
100,61
41060,62
229480,63
8300,64
254060,65
41070,66
221300,67
16500,68
8310,69
24700,70
213120,71
8320,72
130,73
254080,74
32900,75
8330,76
41100,77
204940,78
229520,79
24720,80
49300,81
8340,82
254100,83
221340,84
8350,85
204960,86
65700,87
24740,88
49320,89
8360,90
237740,91
65710,92
221360,93
49330,94
8370,95
65720,96
24760,97
8380,98
65730,99
221380,100
98500,101
24780,102
65740,103
98510,104
229580,105
8400,106
211,107
24790,108
16600,109
220,110
24800,111
229600,112
221410,113
24810,114
16620,115
240,116
65780,117
24820,118
221430,119
49400,120
41210,121
65790,122
24830,123
57600,124
205060,125
65800,126
24840,127
205070,128
24850,129
57620,130
280,131
205080,132
24860,133
229660,134
90400,135
24870,136
57640,137
98600,138
205100,139
300,140
57650,141
8500,142
16700,143
49470,144
320,145
237890,146
16710,147
246090,148
33100,149
16720,150
57680,151
213330,152
340,153
41300,154
33110,155
24920,156
57690,157
16730,158
33120,159
57700,160
213350,161
360,162
33130,163
49520,164
24950,165
221560,166
380,167
205180,168
24960,169
57730,170
90500,171
49540,172
205190,173
65930,174
57740,175
400,176
24980,177
8600,178
115100,179
33180,180
65950,181
90530,182
420,183
115110,184
16810,185
8620,186
205230,187
115120,188
25010,189
440,190
41400,191
33210,192
238010,193
49600,194
8640,195
205250,196
33220,197
221640,198
57800,199
8650,200
33230,201
8660,202
205270,203
33250,204
238050,205
254440,206
33260,207
229870,208
98800,209
221680,210
8690,211
500,212
